Tm,Reg_Seas_W_L_PCT,plyf_pct,SBwl,div_champ_pct,sb_pct,conf_pct,Plyoff_W_L_PCT
Arizona Cardinals,0.426,0.1,0,0.08,0,0.018181818,0.438
Atlanta Falcons,0.438,0.259259259,0,0.12962963,0,0.036363636,0.417
Baltimore Ravens,0.568,0.541666667,2,0.25,0.036363636,0.036363636,0.593
Buffalo Bills,0.475,0.333333333,0,0.2,0,0.072727273,0.471
Carolina Panthers,0.482,0.32,0,0.24,0,0.036363636,0.529
Chicago Bears,0.564,0.27,1,0.24,0.018181818,0.036363636,0.459
Cincinnati Bengals,0.447,0.269230769,0,0.192307692,0,0.036363636,0.263
Cleveland Browns,0.512,0.391891892,0,0.310810811,0,0,0.447
Dallas Cowboys,0.571,0.55,5,0.4,0.090909091,0.145454545,0.556
Denver Broncos,0.528,0.366666667,3,0.25,0.054545455,0.145454545,0.548
Detroit Lions,0.452,0.188888889,0,0.088888889,0,0,0.35
Green Bay Packers,0.572,0.343434343,4,0.303030303,0.072727273,0.090909091,0.6
Houston Texans,0.439,0.333333333,0,0.333333333,0,0,0.4
Indianapolis Colts,0.529,0.432835821,2,0.313432836,0.036363636,0.072727273,0.479
Jacksonville Jaguars,0.422,0.28,0,0.12,0,0,0.5
Kansas City Chiefs,0.538,0.383333333,2,0.233333333,0.036363636,0.072727273,0.429
Las Vegas Raiders,0.523,0.366666667,3,0.266666667,0.054545455,0.090909091,0.568
Los Angeles Chargers,0.499,0.316666667,0,0.25,0,0.018181818,0.4
Los Angeles Rams,0.507,0.361445783,1,0.240963855,0.018181818,0.072727273,0.449
Miami Dolphins,0.551,0.425925926,2,0.259259259,0.036363636,0.090909091,0.488
Minnesota Vikings,0.545,0.508474576,0,0.338983051,0,0.072727273,0.412
New England Patriots,0.561,0.45,6,0.366666667,0.109090909,0.2,0.638
New Orleans Saints,0.468,0.264150943,1,0.169811321,0.018181818,0.018181818,0.435
New York Giants,0.53,0.336842105,4,0.263157895,0.072727273,0.090909091,0.49
New York Jets,0.443,0.233333333,1,0.066666667,0.018181818,0.018181818,0.48
Philadelphia Eagles,0.487,0.310344828,1,0.172413793,0.018181818,0.054545455,0.5
Pittsburgh Steelers,0.536,0.367816092,6,0.287356322,0.109090909,0.145454545,0.581
San Francisco 49ers,0.541,0.364864865,5,0.283783784,0.090909091,0.127272727,0.6
Seattle Seahawks,0.518,0.431818182,1,0.25,0.018181818,0.054545455,0.486
Tampa Bay Buccaneers,0.397,0.25,2,0.136363636,0.036363636,0.036363636,0.526
Tennessee Titans,0.488,0.4,0,0.166666667,0,0.018181818,0.436
Washington Football Team,0.498,0.284090909,3,0.181818182,0.054545455,0.090909091,0.535
